"Primary ISBN10","Primary ISBN13",Title,Author
1421535971,9781421535975,"BLEACH, VOL. 38","Tite Kubo"
142153598X,9781421535982,"BLEACH, VOL. 39","Tite Kubo"
1421541378,9781421541372,"BLEACH, VOL. 40","Tite Kubo"
1421541386,9781421541389,"BLEACH, VOL. 41","Tite Kubo"
1421541394,9781421541396,"BLEACH, VOL. 42","Tite Kubo"
142154296X,9781421542966,"BLEACH, VOL. 43","Tite Kubo"
1421542978,9781421542973,"BLEACH, VOL. 44","Tite Kubo"
1421542986,9781421542980,"BLEACH, VOL. 45","Tite Kubo"
1421542994,9781421542997,"BLEACH, VOL. 46","Tite Kubo"
1421543001,9781421543000,"BLEACH, VOL. 47","Tite Kubo"
142154301X,9781421543017,"BLEACH, VOL. 48","Tite Kubo"
1421543036,9781421543031,"BLEACH, VOL. 50","Tite Kubo"
1421543044,9781421543048,"BLEACH, VOL. 51","Tite Kubo"
1421543052,9781421543055,"BLEACH, VOL. 52","Tite Kubo"
1421549492,9781421549491,"BLEACH, VOL. 53","Tite Kubo"
1421551381,9781421551388,"BLEACH, VOL. 54","Tite Kubo"
1421552361,9781421552361,"BLEACH, VOL. 55","Tite Kubo"
1421554763,9781421554761,"BLEACH, VOL. 56","Tite Kubo"
None,9781421558820,"BLEACH, VOL. 57","Tite Kubo"
1421561352,9781421561356,"BLEACH, VOL. 58","Tite Kubo"
1421562375,9781421562377,"BLEACH, VOL. 59","Tite Kubo"
1421564580,9781421564586,"BLEACH, VOL. 60","Tite Kubo"
1421573830,9781421573830,"BLEACH, VOL. 61","Tite Kubo"
1421576813,9781421576817,"BLEACH, VOL. 62","Tite Kubo"
1935934104,9781935934103,"BLOOD ALONE, VOL. 5","Masayuki Takano"
0316228958,9780316228954,"BLOOD LAD, VOL. 1","Yuuki Kodama"
0316228982,9780316228985,"BLOOD LAD, VOL. 2","Yuuki Kodama"
0316250929,9780316250924,"BLOOD LAD, VOL. 3","Yuuki Kodama"
0316369055,9780316369053,"BLOOD LAD, VOL. 4","Yuuki Kodama"
0316376728,9780316376723,"BLOOD LAD, VOL. 5","Yuuki Kodama"
1427815798,9781427815798,"BLOODY KISS, VOL. 1","Kazuko Furumiya"
1935429248,9781935429241,"BLOODY MONDAY, VOL. 3","Ryou Ryumon"
1612620418,9781612620411,"BLOODY MONDAY, VOL. 5","Ryou Ryumon"
1612620426,9781612620428,"BLOODY MONDAY, VOL. 6","Ryou Ryumon"
1612620442,9781612620442,"BLOODY MONDAY, VOL. 8","Ryou Ryumon"
1421540320,9781421540320,"BLUE EXORCIST, VOL. 1","Kazue Kato"
1421558866,9781421558868,"BLUE EXORCIST, VOL. 10","Kazue Kato"
1421565471,9781421565477,"BLUE EXORCIST, VOL. 11","Kazue Kato"
1421540339,9781421540337,"BLUE EXORCIST, VOL. 2","Kato Kazue"
1421540347,9781421540344,"BLUE EXORCIST, VOL. 3","Kazue Kato"
1421540479,9781421540474,"BLUE EXORCIST, VOL. 4","Kazue Kato"
1421540762,9781421540764,"BLUE EXORCIST, VOL. 5","Kazue Kato"
1421541742,9781421541747,"BLUE EXORCIST, VOL. 6","Kazue Kato"
1421542625,9781421542621,"BLUE EXORCIST, VOL. 7","Kazue Kato"
1421550849,9781421550848,"BLUE EXORCIST, VOL. 8","Kazue Kato"
1421554771,9781421554778,"BLUE EXORCIST, VOL. 9","Kazue Kato"
1935654209,9781935654209,"BOOK OF HUMAN INSECTS","Osamu Tezuka"
None,9780316210331,"BUNNY DROP, VOL. 5","Yumi Unita"
1421532069,9781421532066,"BUTTERFLIES, FLOWERS, VOL. 4","Yuki Yoshihara"
1421535815,9781421535814,"BUTTERFLIES, FLOWERS, VOL. 8","Yuki Yoshihara"
2765408963,9782765408963,"Black Cat, Vol. 19","Kentaro Yabuki"
6131798052,9786131798054,"Bleach, Vol. 26","Tite Kubo"
1612622593,9781612622590,"CAGE OF EDEN, VOL. 10","Yashinobu Yamada"
1612620493,9781612620497,"CAGE OF EDEN, VOL. 5","Yoshinobu Yamada"
1612620507,9781612620503,"CAGE OF EDEN, VOL. 6","Yoshinobu Yamada"
1421521598,9781421521596,"CAPTIVE HEARTS, VOL. 5","Matsuri Hino"
1421528878,9781421528878,"CASE CLOSED, VOL. 36","Gosho Aoyama"
1421528894,9781421528892,"CASE CLOSED, VOL. 38","Gosho Aoyama"
1421536072,9781421536071,"CASE CLOSED, VOL. 41","Gosho Aoyama"
1935654217,9781935654216,"CHI'S SWEET HOME, VOL. 7","Konami Kanata"
193565442X,9781935654421,"CHI'S SWEET HOME, VOL. 9","Konami Kanata"
1439576084,9781439576083,"CHIBI VAMPIRE 13","Yuna Kagesaki"
1427825513,9781427825513,"CHIBI VAMPIRE AIRMAIL","Yuna Kagesaki"
1427816255,9781427816252,"CHIBI VAMPIRE, VOL. 14","Yuna Kagesaki"
1934287857,9781934287859,"CHI’S SWEET HOME, VOL. 2","Kanata Konami"
1934287911,9781934287910,"CHI’S SWEET HOME, VOL. 3","Kanata Konami"
